Item_ID,Category,Region,Date,Stock_Level,Demand,Supply,Is_Scarce,Potentially_Scarce,Conversion_Rate,Experience_Score,Dispute_Amount,Win_Amount,Recouped_Amount,Tag_Status,Net_Loss,Spike_Indicator
ITEM00859,Groceries,South,2023-10-04,449,765,435,No,No,0.85,4,702.02,186.84,21.91,Resolved,493.2699999999999,No
ITEM00860,Electronics,Central,2023-03-07,180,449,755,No,No,0.44,2,759.27,259.46,252.28,Escalated,247.53,No
ITEM00861,Apparel,North,2023-05-16,214,613,802,No,Yes,0.36,4,642.68,269.03,220.36,Escalated,153.28999999999996,No
ITEM00862,Groceries,West,2023-08-22,117,780,196,Yes,Yes,0.39,1,581.72,419.33,203.07,Reviewed,-40.67999999999995,No
ITEM00863,Apparel,South,2023-07-18,226,313,181,No,Yes,0.81,1,495.01,98.53,102.03,Escalated,294.45000000000005,No
ITEM00864,Groceries,East,2023-09-23,378,350,781,No,No,0.36,5,392.96,237.51,297.56,Escalated,-142.11,No
ITEM00865,Toys,South,2023-02-12,443,642,899,Yes,Yes,0.64,1,149.47,478.01,18.85,Escalated,-347.39,No
ITEM00866,Home Appliances,Central,2023-12-27,36,418,153,No,Yes,0.48,3,972.87,354.96,90.72,Flagged,527.19,No
ITEM00867,Toys,North,2023-08-16,316,282,602,No,Yes,0.85,3,641.92,199.42,39.49,Resolved,403.01,No
ITEM00868,Apparel,Central,2023-08-15,95,984,617,No,Yes,0.23,10,194.26,316.09,70.66,Resolved,-192.48999999999998,No
ITEM00869,Home Appliances,East,2023-03-04,119,288,872,No,Yes,0.44,4,836.49,294.02,133.88,Reviewed,408.59000000000003,No
ITEM00870,Groceries,East,2023-06-20,490,824,811,No,Yes,0.2,1,822.44,272.58,183.86,Resolved,366.0000000000001,No
ITEM00871,Home Appliances,East,2023-09-07,436,226,291,Yes,Yes,0.56,7,752.98,267.29,29.4,Reviewed,456.29,No
ITEM00872,Electronics,East,2023-12-04,11,903,976,Yes,No,0.42,4,115.69,359.08,174.3,Reviewed,-417.69,No
ITEM00873,Home Appliances,South,2023-09-07,121,395,688,No,Yes,0.15,7,17.91,440.97,233.54,Flagged,-656.6,No
ITEM00874,Electronics,East,2023-11-03,34,122,711,No,No,0.78,5,708.22,205.5,275.94,Flagged,226.78000000000003,No
ITEM00875,Home Appliances,East,2023-08-26,488,629,380,No,No,0.4,1,204.5,487.59,62.59,Flagged,-345.67999999999995,No
ITEM00876,Electronics,South,2023-02-25,250,178,993,No,No,0.49,4,840.74,201.48,267.65,Reviewed,371.61,No
ITEM00877,Apparel,East,2023-06-20,66,645,897,No,Yes,0.43,5,672.73,338.41,261.32,Flagged,73.0,No
ITEM00878,Toys,Central,2023-02-03,481,569,945,No,Yes,0.49,4,374.41,135.12,84.54,Flagged,154.75,No
ITEM00879,Groceries,Central,2023-11-11,37,718,949,Yes,No,0.11,7,487.51,373.78,206.24,Resolved,-92.50999999999999,No
ITEM00880,Home Appliances,West,2023-05-10,279,404,198,No,No,0.75,1,502.74,194.15,208.06,Reviewed,100.53000000000003,No
ITEM00881,Toys,Central,2023-05-10,229,547,218,No,Yes,0.37,9,378.92,191.06,284.23,Resolved,-96.37,No
ITEM00882,Groceries,North,2023-05-31,336,298,606,No,Yes,0.68,6,179.37,100.82,69.35,Flagged,9.200000000000017,No
ITEM00883,Groceries,North,2023-05-23,167,290,133,Yes,No,0.15,8,994.34,34.91,27.79,Resolved,931.6400000000001,Yes
ITEM00884,Electronics,North,2023-04-28,448,331,569,No,Yes,0.52,8,749.22,174.55,167.87,Flagged,406.80000000000007,No
ITEM00885,Apparel,South,2023-07-23,440,673,156,No,No,0.83,9,156.42,299.92,77.15,Resolved,-220.65000000000003,No
ITEM00886,Apparel,Central,2023-08-23,327,653,934,Yes,No,0.42,5,34.57,22.96,70.75,Flagged,-59.14,No
ITEM00887,Toys,North,2023-01-17,245,123,314,No,Yes,0.26,8,344.33,95.32,276.94,Escalated,-27.930000000000007,No
ITEM00888,Apparel,West,2023-03-23,78,774,707,No,No,0.18,8,554.45,122.53,216.94,Flagged,214.98000000000008,No
ITEM00889,Home Appliances,South,2023-01-14,113,560,80,No,No,0.79,6,937.94,93.75,200.94,Flagged,643.25,No
ITEM00890,Apparel,West,2023-03-22,300,282,805,No,No,0.29,10,132.4,51.51,285.66,Reviewed,-204.77,No
ITEM00891,Toys,Central,2023-07-26,216,532,596,Yes,No,0.88,8,440.23,91.37,20.71,Flagged,328.15000000000003,No
ITEM00892,Apparel,East,2023-07-23,199,944,296,No,Yes,0.3,5,178.62,467.77,176.14,Reviewed,-465.28999999999996,No
ITEM00893,Home Appliances,West,2023-09-29,380,706,975,Yes,No,0.48,10,69.73,391.61,146.24,Escalated,-468.12,No
ITEM00894,Electronics,East,2023-02-01,499,182,579,No,Yes,0.47,8,601.34,460.6,90.64,Reviewed,50.10000000000001,No
ITEM00895,Toys,South,2023-01-23,351,192,986,Yes,No,0.15,10,103.8,445.0,175.99,Escalated,-517.19,No
ITEM00896,Electronics,West,2023-04-12,241,377,73,No,No,0.53,3,720.19,200.18,240.08,Reviewed,279.92999999999995,No
ITEM00897,Electronics,West,2023-06-11,12,716,547,Yes,Yes,0.64,4,553.51,184.64,168.41,Reviewed,200.46,No
ITEM00898,Electronics,South,2023-04-08,365,184,903,Yes,Yes,0.69,3,232.52,388.69,52.17,Reviewed,-208.33999999999997,No
ITEM00899,Groceries,South,2023-05-24,206,672,353,No,No,0.52,5,794.49,450.57,169.11,Reviewed,174.81,No
ITEM00900,Groceries,North,2023-04-14,261,307,447,No,Yes,0.75,5,699.61,375.64,58.94,Resolved,265.03000000000003,No
ITEM00901,Electronics,Central,2023-11-20,96,769,452,No,No,0.7,5,626.29,290.72,45.34,Escalated,290.2299999999999,No
ITEM00902,Toys,West,2023-06-20,70,680,365,Yes,Yes,0.26,2,213.85,278.54,164.04,Resolved,-228.73000000000002,No
ITEM00903,Home Appliances,West,2023-03-05,480,543,910,No,No,0.42,9,706.52,231.8,31.82,Reviewed,442.9,No
ITEM00904,Home Appliances,South,2023-09-01,302,873,327,No,No,0.21,7,540.63,227.32,112.85,Escalated,200.46,No
ITEM00905,Apparel,South,2023-03-12,348,952,591,No,Yes,0.21,8,534.3,28.24,194.97,Resolved,311.0899999999999,No
ITEM00906,Toys,Central,2023-10-01,229,845,192,No,Yes,0.67,2,119.52,107.71,174.94,Escalated,-163.13,No
ITEM00907,Groceries,South,2023-05-05,356,469,838,Yes,No,0.52,10,135.13,71.89,145.13,Flagged,-81.89,No
ITEM00908,Electronics,East,2023-11-13,299,750,459,Yes,No,0.58,10,32.3,234.66,72.9,Escalated,-275.26,No
ITEM00909,Apparel,East,2023-11-27,31,891,405,No,No,0.69,7,245.49,144.48,90.12,Resolved,10.890000000000015,No
ITEM00910,Home Appliances,East,2023-04-17,249,575,573,No,No,0.32,3,493.41,189.16,65.97,Flagged,238.28,No
ITEM00911,Groceries,East,2023-05-28,253,603,952,No,No,0.42,5,358.99,485.74,157.62,Escalated,-284.37,No
ITEM00912,Groceries,Central,2023-07-11,258,946,252,No,No,0.59,7,712.9,382.19,266.32,Reviewed,64.38999999999999,No
ITEM00913,Electronics,West,2023-12-03,181,330,299,No,No,0.18,9,407.51,69.8,252.85,Escalated,84.85999999999999,No
ITEM00914,Home Appliances,East,2023-08-14,339,977,152,No,No,0.77,10,93.24,404.53,239.96,Resolved,-551.25,No
ITEM00915,Toys,South,2023-08-30,461,459,517,No,Yes,0.37,1,724.61,221.11,85.15,Reviewed,418.35,No
ITEM00916,Groceries,East,2023-12-28,475,662,84,No,No,0.63,6,184.15,427.2,141.38,Flagged,-384.42999999999995,No
ITEM00917,Electronics,Central,2023-10-11,165,850,373,Yes,No,0.9,6,315.02,379.86,117.49,Flagged,-182.33000000000004,No
ITEM00918,Toys,South,2023-06-12,3,118,947,Yes,Yes,0.48,2,500.62,259.31,158.05,Escalated,83.25999999999999,No
ITEM00919,Home Appliances,East,2023-01-08,462,789,581,No,No,0.27,10,554.16,359.83,133.51,Flagged,60.81999999999999,No
ITEM00920,Groceries,West,2023-12-13,144,308,608,No,Yes,0.27,9,294.97,468.58,137.06,Resolved,-310.66999999999996,No
ITEM00921,Toys,South,2023-06-01,164,998,645,Yes,No,0.15,5,460.71,269.19,20.48,Flagged,171.04,No
ITEM00922,Toys,South,2023-11-18,343,230,317,Yes,No,0.71,9,66.7,74.52,60.37,Resolved,-68.19,No
ITEM00923,Toys,West,2023-04-05,485,842,102,No,Yes,0.33,4,160.08,284.14,112.74,Reviewed,-236.79999999999995,No
ITEM00924,Groceries,South,2023-08-02,361,483,834,No,No,0.24,5,599.04,23.46,70.11,Resolved,505.4699999999999,No
ITEM00925,Groceries,East,2023-03-05,104,191,67,No,Yes,0.67,5,4.58,226.89,262.62,Reviewed,-484.92999999999995,No
ITEM00926,Apparel,South,2023-03-06,35,642,153,No,No,0.35,5,183.96,111.53,270.57,Reviewed,-198.14,No
ITEM00927,Home Appliances,East,2023-09-27,313,461,201,No,No,0.58,9,628.35,322.75,207.3,Resolved,98.30000000000001,No
ITEM00928,Electronics,West,2023-01-25,168,860,889,No,Yes,0.43,1,232.25,199.66,286.05,Escalated,-253.46,No
ITEM00929,Toys,North,2023-04-10,7,223,726,Yes,No,0.37,8,817.93,257.34,32.86,Flagged,527.7299999999999,No
ITEM00930,Apparel,West,2023-04-15,450,980,922,No,No,0.49,7,392.53,445.87,103.98,Reviewed,-157.32000000000005,No
ITEM00931,Electronics,East,2023-05-11,413,747,463,Yes,Yes,0.35,1,714.17,229.71,295.35,Reviewed,189.1099999999999,No
ITEM00932,Apparel,Central,2023-11-17,85,372,133,No,Yes,0.8,2,885.07,498.67,195.52,Escalated,190.88000000000002,No
ITEM00933,Groceries,West,2023-01-19,435,454,357,No,No,0.16,1,448.21,68.26,286.54,Reviewed,93.40999999999997,No
ITEM00934,Toys,Central,2023-08-13,96,199,200,Yes,No,0.12,4,675.02,428.66,63.42,Flagged,182.93999999999994,No
ITEM00935,Electronics,Central,2023-04-16,408,830,598,Yes,No,0.43,10,843.4,181.69,135.69,Reviewed,526.02,No
ITEM00936,Electronics,East,2023-02-23,435,715,428,Yes,Yes,0.24,9,246.33,397.66,77.38,Resolved,-228.71,No
ITEM00937,Electronics,East,2023-08-14,314,400,507,No,No,0.69,1,885.22,249.38,271.74,Escalated,364.1,No
ITEM00938,Electronics,North,2023-12-26,29,708,402,Yes,No,0.38,3,860.3,261.56,192.03,Flagged,406.71000000000004,No
ITEM00939,Electronics,South,2023-01-15,100,927,713,No,Yes,0.31,7,60.43,266.48,203.86,Reviewed,-409.91,No
ITEM00940,Apparel,West,2023-02-17,66,981,917,No,No,0.39,4,471.05,120.83,181.23,Resolved,168.99000000000004,No
ITEM00941,Toys,East,2023-05-19,387,302,425,No,Yes,0.28,6,111.15,26.69,237.86,Flagged,-153.4,No
ITEM00942,Groceries,West,2023-02-03,348,120,257,No,No,0.34,7,886.15,326.66,152.83,Flagged,406.65999999999997,No
ITEM00943,Groceries,Central,2023-12-21,440,297,611,No,No,0.55,6,239.64,12.84,260.32,Flagged,-33.52000000000001,No
ITEM00944,Groceries,South,2023-07-29,62,211,781,No,No,0.79,8,370.98,363.24,12.46,Escalated,-4.719999999999992,No
ITEM00945,Groceries,North,2023-01-19,31,248,509,Yes,No,0.4,2,937.97,161.84,239.65,Flagged,536.48,No
ITEM00946,Apparel,West,2023-07-15,86,480,453,Yes,No,0.36,1,562.07,198.03,5.3,Escalated,358.74000000000007,No
ITEM00947,Home Appliances,South,2023-11-22,210,854,608,No,Yes,0.73,7,927.07,376.44,99.0,Reviewed,451.6300000000001,No
ITEM00948,Toys,North,2023-04-25,462,282,579,No,No,0.12,3,461.59,75.45,135.75,Flagged,250.39,No
ITEM00949,Electronics,West,2023-12-18,50,895,534,Yes,No,0.34,4,982.78,324.77,166.03,Escalated,491.98,No
ITEM00950,Home Appliances,South,2023-03-16,62,436,171,No,No,0.46,7,955.26,286.33,271.11,Escalated,397.82000000000005,No
ITEM00951,Groceries,East,2023-05-30,79,437,843,No,No,0.58,2,20.12,208.51,269.94,Reviewed,-458.33,No
ITEM00952,Home Appliances,West,2023-02-05,342,913,169,No,No,0.22,7,406.16,312.8,246.39,Resolved,-153.02999999999997,No
ITEM00953,Toys,South,2023-08-30,231,399,300,No,No,0.45,4,949.95,180.08,295.1,Reviewed,474.77,No
ITEM00954,Electronics,North,2023-05-31,365,700,888,No,No,0.55,9,814.26,132.22,89.46,Flagged,592.5799999999999,No
ITEM00955,Electronics,South,2023-03-04,100,321,348,No,Yes,0.51,1,212.0,44.68,221.74,Escalated,-54.420000000000016,No
ITEM00956,Toys,East,2023-06-03,128,859,96,No,No,0.56,3,884.92,295.3,19.06,Escalated,570.56,No
ITEM00957,Toys,West,2023-07-07,18,508,646,No,No,0.63,8,201.58,480.06,95.85,Resolved,-374.33000000000004,No
ITEM00958,Groceries,West,2023-08-11,356,788,348,No,No,0.4,7,936.18,402.83,97.17,Escalated,436.1799999999999,No
ITEM00959,Electronics,West,2023-04-03,418,217,945,No,No,0.15,2,83.05,47.06,78.38,Resolved,-42.39,No
ITEM00960,Home Appliances,East,2023-01-05,446,273,721,Yes,No,0.14,5,946.33,109.72,292.91,Reviewed,543.7,No
ITEM00961,Apparel,North,2023-06-15,93,318,568,Yes,No,0.79,7,82.33,324.69,283.38,Flagged,-525.74,No
ITEM00962,Apparel,West,2023-01-25,80,475,294,No,No,0.64,5,227.87,1.02,117.95,Escalated,108.89999999999999,No
ITEM00963,Toys,North,2023-04-08,102,829,776,No,No,0.71,10,566.17,281.55,111.42,Flagged,173.19999999999993,No
ITEM00964,Groceries,South,2023-09-25,368,418,773,Yes,No,0.84,1,188.03,486.99,146.21,Resolved,-445.1700000000001,No
ITEM00965,Apparel,North,2023-05-30,153,688,773,Yes,No,0.7,5,389.24,176.06,128.26,Escalated,84.92000000000002,No
ITEM00966,Electronics,North,2023-09-09,268,187,849,Yes,Yes,0.65,10,168.93,446.77,90.6,Resolved,-368.43999999999994,No
ITEM00967,Toys,West,2023-03-25,117,177,267,No,No,0.62,3,557.78,53.91,79.01,Flagged,424.86,No
ITEM00968,Home Appliances,Central,2023-10-12,341,540,812,No,Yes,0.31,1,610.93,23.24,279.18,Escalated,308.50999999999993,No
ITEM00969,Toys,Central,2023-06-21,493,300,393,No,Yes,0.87,10,220.45,173.67,60.18,Reviewed,-13.399999999999999,No
ITEM00970,Home Appliances,East,2023-08-09,278,675,882,No,Yes,0.53,4,291.56,289.4,119.31,Escalated,-117.14999999999998,No
ITEM00971,Toys,East,2023-04-19,491,514,363,No,No,0.28,7,738.11,417.28,207.45,Reviewed,113.38000000000005,No
ITEM00972,Toys,Central,2023-01-27,362,103,742,No,Yes,0.27,7,86.59,92.69,291.95,Resolved,-298.04999999999995,No
ITEM00973,Toys,South,2023-09-03,224,182,653,No,No,0.75,2,452.9,130.78,212.9,Flagged,109.22,No
ITEM00974,Home Appliances,West,2023-02-24,474,804,779,No,Yes,0.3,2,290.08,239.41,163.11,Escalated,-112.44000000000003,No
ITEM00975,Home Appliances,West,2023-05-13,418,592,339,No,No,0.13,1,412.34,172.94,139.07,Reviewed,100.32999999999998,No
ITEM00976,Toys,South,2023-02-21,267,105,651,No,Yes,0.44,2,835.44,2.16,193.45,Flagged,639.8300000000002,No
ITEM00977,Apparel,South,2023-09-10,136,804,246,No,Yes,0.75,9,979.1,165.29,205.93,Reviewed,607.8800000000001,No
ITEM00978,Groceries,Central,2023-09-26,225,828,745,No,No,0.43,9,180.39,130.39,297.86,Flagged,-247.86,No
ITEM00979,Groceries,East,2023-10-25,333,446,627,No,Yes,0.74,7,61.11,252.55,104.8,Escalated,-296.24,No
ITEM00980,Groceries,South,2023-03-20,228,633,465,No,Yes,0.76,3,196.94,58.02,63.73,Reviewed,75.19,No
ITEM00981,Home Appliances,East,2023-01-18,322,756,659,No,No,0.79,8,872.56,342.53,127.56,Escalated,402.46999999999997,No
ITEM00982,Home Appliances,North,2023-11-02,107,896,355,No,Yes,0.57,4,879.46,147.03,73.87,Escalated,658.5600000000001,No
ITEM00983,Apparel,West,2023-09-15,299,550,527,No,Yes,0.66,5,286.74,114.95,13.84,Resolved,157.95000000000002,No
ITEM00984,Groceries,Central,2023-12-09,444,244,585,No,Yes,0.31,10,329.86,152.3,290.19,Escalated,-112.63,No
ITEM00985,Groceries,West,2023-04-17,404,101,269,No,Yes,0.18,5,663.99,229.67,18.33,Flagged,415.99000000000007,No
ITEM00986,Toys,Central,2023-02-16,6,387,735,Yes,Yes,0.53,2,341.76,443.81,144.44,Flagged,-246.49,No
ITEM00987,Home Appliances,North,2023-09-03,127,970,948,Yes,No,0.11,9,904.07,343.7,143.38,Escalated,416.9900000000001,No
ITEM00988,Groceries,West,2023-03-30,352,324,806,No,Yes,0.47,6,801.06,88.69,55.62,Escalated,656.7499999999999,No
ITEM00989,Apparel,North,2023-07-22,482,536,675,No,Yes,0.18,6,357.81,336.33,173.25,Resolved,-151.76999999999998,No
ITEM00990,Apparel,Central,2023-08-28,266,313,827,No,No,0.19,1,972.29,76.57,247.32,Escalated,648.4000000000001,No
ITEM00991,Groceries,South,2023-09-25,172,999,951,No,No,0.8,2,744.93,159.31,262.91,Reviewed,322.70999999999987,No
ITEM00992,Home Appliances,West,2023-01-13,415,265,403,No,Yes,0.61,4,757.3,231.57,109.76,Resolved,415.97,No
ITEM00993,Apparel,North,2023-05-17,213,472,784,No,No,0.62,8,960.35,318.08,58.26,Reviewed,584.01,No
ITEM00994,Toys,West,2023-11-11,246,752,869,No,Yes,0.42,8,430.67,235.04,152.09,Flagged,43.54000000000002,No
ITEM00995,Apparel,West,2023-06-22,105,928,284,No,No,0.43,9,41.41,291.77,36.53,Flagged,-286.89,No
ITEM00996,Electronics,West,2023-08-18,82,606,355,Yes,No,0.34,1,990.96,341.38,255.08,Reviewed,394.5,No
ITEM00997,Electronics,East,2023-07-17,291,675,159,No,No,0.45,8,935.29,480.86,138.08,Resolved,316.3499999999999,No
ITEM00998,Home Appliances,North,2023-08-31,373,432,363,No,Yes,0.57,4,966.17,452.9,266.92,Flagged,246.34999999999997,No
ITEM00999,Groceries,North,2023-02-12,420,311,997,No,No,0.25,5,473.88,253.27,11.3,Flagged,209.30999999999997,No
ITEM01000,Home Appliances,West,2023-11-26,202,388,62,No,Yes,0.31,10,164.57,371.4,253.77,Reviewed,-460.6,No
ITEM01001,Home Appliances,South,2023-10-06,40,709,686,No,No,0.5,5,195.81,219.37,77.88,Flagged,-101.44,No
ITEM01002,Home Appliances,West,2023-03-20,204,265,876,No,Yes,0.41,7,473.26,483.02,286.65,Reviewed,-296.40999999999997,No
ITEM01003,Home Appliances,East,2023-10-06,347,225,216,Yes,No,0.76,3,675.39,38.85,23.15,Escalated,613.39,No
ITEM01004,Toys,Central,2023-08-20,48,256,102,No,No,0.76,5,465.14,102.6,251.56,Resolved,110.97999999999996,No
ITEM01005,Toys,East,2023-04-11,142,861,235,Yes,No,0.37,7,394.59,129.27,160.16,Resolved,105.15999999999994,No
ITEM01006,Apparel,South,2023-06-11,140,672,325,No,No,0.46,6,963.49,140.97,58.23,Flagged,764.29,Yes
ITEM01007,Electronics,West,2023-05-24,52,131,496,No,No,0.88,2,647.71,137.33,129.36,Escalated,381.02,No
ITEM01008,Home Appliances,North,2023-04-19,106,373,401,No,Yes,0.76,8,407.36,302.3,91.06,Resolved,14.0,No
ITEM01009,Apparel,West,2023-08-21,32,400,59,No,No,0.27,9,689.84,446.88,71.48,Flagged,171.48000000000002,No
ITEM01010,Electronics,South,2023-04-21,199,120,459,Yes,No,0.32,9,791.76,33.64,186.48,Escalated,571.64,No
ITEM01011,Groceries,North,2023-08-20,118,623,196,Yes,Yes,0.17,9,367.38,416.02,202.62,Reviewed,-251.26,No
ITEM01012,Toys,East,2023-08-26,287,855,526,No,No,0.64,2,475.09,150.09,31.94,Flagged,293.06,No
ITEM01013,Electronics,Central,2023-07-16,228,714,878,No,Yes,0.35,10,641.87,294.66,217.58,Reviewed,129.62999999999997,No
ITEM01014,Groceries,Central,2023-09-30,117,375,894,Yes,Yes,0.53,3,637.59,329.38,144.9,Flagged,163.31000000000003,No
ITEM01015,Electronics,West,2023-03-27,175,106,679,Yes,Yes,0.71,4,175.49,280.95,159.03,Resolved,-264.49,No
ITEM01016,Toys,East,2023-10-22,451,958,979,No,No,0.77,2,496.97,47.15,223.12,Escalated,226.70000000000005,No
ITEM01017,Toys,South,2023-02-10,184,554,901,No,Yes,0.36,6,259.12,241.96,129.54,Reviewed,-112.38,No
ITEM01018,Apparel,Central,2023-02-17,317,229,477,Yes,Yes,0.29,7,913.59,31.4,178.06,Resolved,704.1300000000001,Yes
ITEM01019,Home Appliances,East,2023-03-18,498,398,537,No,No,0.78,9,496.47,1.29,153.91,Flagged,341.27,No
ITEM01020,Electronics,West,2023-06-27,337,196,579,No,No,0.41,1,766.59,100.85,35.62,Resolved,630.12,No
ITEM01021,Electronics,North,2023-09-14,214,376,426,No,No,0.76,7,44.13,148.73,128.31,Reviewed,-232.91,No
ITEM01022,Groceries,West,2023-04-27,220,384,787,No,Yes,0.22,5,381.61,343.26,250.84,Reviewed,-212.48999999999998,No
ITEM01023,Toys,West,2023-01-19,129,899,161,No,No,0.83,3,158.79,192.15,9.0,Reviewed,-42.360000000000014,No
ITEM01024,Electronics,East,2023-02-28,332,272,633,No,Yes,0.49,5,392.98,244.68,10.08,Escalated,138.22,No
ITEM01025,Toys,Central,2023-07-15,271,431,705,Yes,No,0.24,6,795.04,299.19,278.76,Escalated,217.08999999999997,No
ITEM01026,Electronics,East,2023-04-17,245,304,665,Yes,No,0.53,4,926.91,17.08,246.05,Flagged,663.78,No
ITEM01027,Apparel,North,2023-10-11,122,202,264,Yes,No,0.8,10,916.25,173.94,1.06,Resolved,741.25,Yes
ITEM01028,Home Appliances,East,2023-02-03,7,724,559,No,No,0.41,9,118.87,213.43,280.36,Resolved,-374.92,No
ITEM01029,Electronics,South,2023-10-22,402,459,560,No,No,0.24,1,301.53,130.84,89.32,Reviewed,81.36999999999998,No
ITEM01030,Toys,West,2023-09-08,415,230,638,No,No,0.56,10,660.38,187.93,135.15,Reviewed,337.29999999999995,No
ITEM01031,Apparel,Central,2023-05-06,66,138,75,No,No,0.77,6,203.54,246.6,70.61,Resolved,-113.67,No
ITEM01032,Electronics,North,2023-12-05,114,406,791,No,Yes,0.2,10,51.43,294.2,53.06,Flagged,-295.83,No
ITEM01033,Groceries,West,2023-04-16,368,983,242,No,No,0.13,2,953.68,145.26,36.84,Escalated,771.5799999999999,Yes
ITEM01034,Home Appliances,East,2023-06-29,287,619,152,No,Yes,0.15,7,329.5,348.96,209.06,Resolved,-228.51999999999998,No
ITEM01035,Electronics,South,2023-04-20,104,977,254,Yes,No,0.28,9,419.91,430.24,4.22,Resolved,-14.549999999999983,No
ITEM01036,Apparel,East,2023-08-16,468,145,460,No,Yes,0.11,6,272.47,66.67,116.67,Resolved,89.13000000000001,No
ITEM01037,Groceries,West,2023-05-01,24,293,821,No,No,0.44,10,325.2,145.11,136.34,Resolved,43.74999999999997,No
ITEM01038,Apparel,North,2023-04-17,52,617,794,Yes,No,0.66,9,964.05,173.12,87.88,Flagged,703.05,Yes
ITEM01039,Apparel,Central,2023-05-11,246,979,100,Yes,Yes,0.67,8,191.78,52.66,75.08,Resolved,64.04,No
ITEM01040,Groceries,West,2023-01-23,336,669,180,Yes,No,0.61,5,494.93,305.67,184.36,Resolved,4.899999999999977,No
ITEM01041,Apparel,North,2023-05-25,280,268,392,No,Yes,0.34,8,638.14,105.34,248.48,Flagged,284.31999999999994,No
ITEM01042,Groceries,West,2023-11-23,32,221,627,Yes,Yes,0.69,5,224.38,453.48,151.69,Reviewed,-380.79,No
ITEM01043,Electronics,South,2023-06-03,286,348,449,No,No,0.56,8,715.63,68.98,213.53,Reviewed,433.12,No
ITEM01044,Groceries,East,2023-04-17,35,306,251,No,Yes,0.79,7,682.48,363.31,219.35,Flagged,99.82000000000002,No
ITEM01045,Groceries,Central,2023-05-26,342,214,845,No,Yes,0.48,5,954.75,328.69,272.2,Reviewed,353.85999999999996,No
ITEM01046,Home Appliances,North,2023-09-09,378,338,349,No,No,0.24,8,460.37,234.28,220.07,Resolved,6.02000000000001,No
ITEM01047,Groceries,Central,2023-10-29,238,665,195,No,No,0.61,6,384.7,258.2,81.27,Escalated,45.230000000000004,No
ITEM01048,Groceries,Central,2023-03-11,491,175,819,No,Yes,0.22,7,361.09,79.8,56.95,Flagged,224.33999999999997,No
ITEM01049,Electronics,Central,2023-01-31,216,268,511,No,Yes,0.87,5,364.32,14.42,272.43,Reviewed,77.46999999999997,No
ITEM01050,Home Appliances,North,2023-04-03,176,147,989,No,Yes,0.66,8,37.64,471.59,229.98,Escalated,-663.93,No
ITEM01051,Toys,North,2023-05-17,43,835,965,No,Yes,0.71,8,236.22,17.92,187.6,Resolved,30.700000000000017,No
ITEM01052,Electronics,Central,2023-06-12,303,169,873,No,Yes,0.64,1,120.04,287.93,284.47,Escalated,-452.36,No
ITEM01053,Electronics,East,2023-03-22,157,607,553,Yes,No,0.18,8,880.61,406.74,201.93,Reviewed,271.94,No
ITEM01054,Toys,West,2023-11-12,268,254,937,No,Yes,0.47,10,56.22,2.57,190.58,Reviewed,-136.93,No
ITEM01055,Groceries,Central,2023-03-17,170,658,665,Yes,No,0.62,8,365.2,191.14,260.67,Flagged,-86.61000000000001,No
ITEM01056,Apparel,South,2023-03-04,494,560,200,Yes,No,0.28,7,219.42,152.35,236.47,Escalated,-169.4,No
ITEM01057,Home Appliances,Central,2023-04-10,220,472,679,Yes,No,0.64,6,645.59,104.23,88.87,Flagged,452.49,No
ITEM01058,Apparel,North,2023-02-17,399,890,365,Yes,Yes,0.76,10,326.34,82.68,149.83,Flagged,93.82999999999996,No
ITEM01059,Toys,West,2023-03-15,229,301,248,No,No,0.32,3,16.6,188.46,197.32,Escalated,-369.18,No
ITEM01060,Electronics,South,2023-11-10,90,753,478,No,No,0.26,7,893.84,72.01,70.75,Escalated,751.08,Yes
ITEM01061,Electronics,West,2023-07-11,409,416,352,No,Yes,0.81,4,636.44,97.59,191.77,Resolved,347.08000000000004,No
ITEM01062,Home Appliances,West,2023-01-30,458,550,895,Yes,Yes,0.1,8,1.38,273.55,221.24,Resolved,-493.41,No
ITEM01063,Electronics,South,2023-06-06,430,737,982,No,Yes,0.3,5,679.68,119.83,79.42,Reviewed,480.4299999999999,No
ITEM01064,Electronics,Central,2023-09-23,420,943,953,Yes,No,0.43,3,216.38,38.6,80.93,Flagged,96.85,No
ITEM01065,Home Appliances,Central,2023-09-13,130,764,547,No,Yes,0.64,6,963.62,432.45,298.01,Escalated,233.16000000000008,No
ITEM01066,Home Appliances,Central,2023-02-08,409,676,950,No,No,0.9,6,444.86,216.69,109.73,Resolved,118.44000000000001,No
ITEM01067,Toys,East,2023-02-24,225,195,840,Yes,No,0.4,6,223.19,415.02,8.54,Escalated,-200.36999999999998,No
ITEM01068,Electronics,Central,2023-01-28,224,792,154,No,No,0.86,8,30.25,25.88,51.01,Resolved,-46.64,No
ITEM01069,Electronics,South,2023-04-28,142,595,59,No,No,0.39,1,58.73,318.48,226.2,Resolved,-485.95,No
ITEM01070,Toys,East,2023-07-28,65,461,674,No,Yes,0.66,10,56.43,409.26,202.13,Escalated,-554.96,No
ITEM01071,Groceries,Central,2023-03-16,27,556,76,No,No,0.23,1,31.49,348.18,250.45,Reviewed,-567.14,No
ITEM01072,Groceries,East,2023-03-06,124,277,660,No,No,0.47,10,548.48,421.56,197.47,Reviewed,-70.54999999999998,No
